addresses_neighborhood_name,addresses_district_name,hotel_count
la dreta de l'eixample,eixample,94
el barri gòtic,ciutat vella,59
el raval,ciutat vella,50
l'antiga esquerra de l'eixample,eixample,28
"sant pere, santa caterina i la ribera",ciutat vella,23
la nova esquerra de l'eixample,eixample,16
sant gervasi - galvany,sarrià-sant gervasi,15
sant antoni,eixample,14
diagonal mar i el front marítim del poblenou,sant martí,11
les corts,les corts,11
el parc i la llacuna del poblenou,sant martí,11
el poblenou,sant martí,10
el poble-sec,sants-montjuïc,10
el fort pienc,eixample,10
hostafrancs,sants-montjuïc,7
sant gervasi - la bonanova,sarrià-sant gervasi,7
la maternitat i sant ramon,les corts,6
el putxet i el farró,sarrià-sant gervasi,6
la barceloneta,ciutat vella,5
el baix guinardó,horta-guinardó,4
la vila de gràcia,gràcia,4
la sagrada família,eixample,4
el camp de l'arpa del clot,sant martí,4
sarrià,sarrià-sant gervasi,4
sants,sants-montjuïc,4
les tres torres,sarrià-sant gervasi,3
pedralbes,les corts,3
la vila olímpica del poblenou,sant martí,2
la font de la guatlla,sants-montjuïc,2
provençals del poblenou,sant martí,2
el guinardó,horta-guinardó,2
el camp d'en grassot i gràcia nova,gràcia,2
sants - badal,sants-montjuïc,1
porta,nou barris,1
la marina del prat vermell,sants-montjuïc,1
horta,horta-guinardó,1
el coll,gràcia,1
la sagrera,sant andreu,1
la salut,gràcia,1
la vall d'hebron,horta-guinardó,1
el bon pastor,sant andreu,1
el besòs i el maresme,sant martí,1
vallcarca i els penitents,gràcia,1
"vallvidrera, el tibidabo i les planes",sarrià-sant gervasi,1
